"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
Kisumu,Kisumu,-0.09,34.75,Kenya,KE,KEN,Kisumu,admin,395615,1404511872
Mombasa,Mombasa,-4.04,39.6899,Kenya,KE,KEN,Mombasa,admin,882000,1404512384
Nyeri,Nyeri,-0.417,36.951,Kenya,KE,KEN,Nyeri,admin,51084,1404924928
Garissa,Garissa,-0.4396,39.67,Kenya,KE,KEN,Garissa,admin,67861,1404464640
Kakamega,Kakamega,0.2904,34.73,Kenya,KE,KEN,Kakamega,admin,63426,1404614272
Nakuru,Nakuru,-0.28,36.07,Kenya,KE,KEN,Nakuru,admin,364727,1404140160
Witu,Witu,-2.3796,40.43,Kenya,KE,KEN,Lamu,,5380,1404037120
Embu,Embu,-0.5196,37.45,Kenya,KE,KEN,Embu,admin,58620,1404376448
Homa Bay,Homa Bay,-0.5273,34.4571,Kenya,KE,KEN,Homa Bay,admin,,1404321152
Isiolo,Isiolo,0.3546,37.5822,Kenya,KE,KEN,Isiolo,admin,,1404771200
Iten,Iten,0.6703,35.5081,Kenya,KE,KEN,Elgeyo/Marakwet,admin,,1404000128
Kabarnet,Kabarnet,0.4919,35.743,Kenya,KE,KEN,Baringo,admin,,1404620672
Kajiado,Kajiado,-1.8524,36.7768,Kenya,KE,KEN,Kajiado,admin,,1404265472
Kapenguria,Kapenguria,1.2389,35.1119,Kenya,KE,KEN,West Pokot,admin,,1404228096
Kapsabet,Kapsabet,0.2039,35.105,Kenya,KE,KEN,Nandi,admin,,1404814336
Kericho,Kericho,-0.3596,35.28,Kenya,KE,KEN,Kericho,admin,98852,1404338560
Kerugoya,Kerugoya,-0.4989,37.2803,Kenya,KE,KEN,Kirinyaga,admin,,1404597760
Kiambu,Kiambu,-1.1714,36.8356,Kenya,KE,KEN,Kiambu,admin,,1404390912
Kilifi,Kilifi,-3.6096,39.85,Kenya,KE,KEN,Kilifi,admin,80339,1404080128
Kisii,Kisii,-0.6696,34.76,Kenya,KE,KEN,Kisii,admin,28547,1404617600
Kitale,Kitale,1.0305,34.9899,Kenya,KE,KEN,Trans Nzoia,admin,150495,1404890112
Kitui,Kitui,-1.367,38.0106,Kenya,KE,KEN,Kitui,admin,,1404548352
Kwale,Kwale,-4.1737,39.4521,Kenya,KE,KEN,Kwale,admin,,1404769024
Lamu,Lamu,-2.262,40.9197,Kenya,KE,KEN,Lamu,admin,24525,1404163072
Lodwar,Lodwar,3.1304,35.57,Kenya,KE,KEN,Turkana,admin,20219,1404993536
Machakos,Machakos,-1.5095,37.26,Kenya,KE,KEN,Machakos,admin,144925,1404746752
Mandera,Mandera,3.9414,41.8625,Kenya,KE,KEN,Mandera,admin,,1404192768
Maralal,Maralal,1.1105,36.68,Kenya,KE,KEN,Samburu,admin,20841,1404895616
Marsabit,Marsabit,2.33,37.98,Kenya,KE,KEN,Marsabit,admin,16460,1404055296
Meru,Meru,0.06,37.64,Kenya,KE,KEN,Meru,admin,47226,1404588288
Migori,Migori,-1.0634,34.4731,Kenya,KE,KEN,Migori,admin,,1404478464
Murang’a,Murang'a,-0.721,37.1526,Kenya,KE,KEN,Murang’a,admin,,1404066688
Mwatate,Mwatate,-3.505,38.3772,Kenya,KE,KEN,Taita/Taveta,admin,,1404648064
Narok,Narok,-1.0808,35.8711,Kenya,KE,KEN,Narok,admin,,1404459776
Nyamira,Nyamira,-0.5633,34.9358,Kenya,KE,KEN,Nyamira,admin,,1404000128
Ol Kalou,Ol Kalou,-0.2643,36.3788,Kenya,KE,KEN,Nyandarua,admin,,1404930688
Rumuruti,Rumuruti,0.2725,36.5381,Kenya,KE,KEN,Laikipia,admin,,1404005248
Wajir,Wajir,1.7504,40.05,Kenya,KE,KEN,Wajir,admin,45771,1404067328
Wote,Wote,-1.7808,37.6288,Kenya,KE,KEN,Makueni,admin,,1404304512
Busia,Busia,0.4586,34.116,Kenya,KE,KEN,Busia,admin,,1404250752
Kathwana,Kathwana,-0.3314,37.8686,Kenya,KE,KEN,Tharaka-Nithi,admin,,1404000128
Sotik Post,Sotik Post,-0.7813,35.3416,Kenya,KE,KEN,Bomet,admin,,1404087680
Bungoma,Bungoma,0.5704,34.56,Kenya,KE,KEN,Bungoma,admin,55962,1404689792
Eldoret,Eldoret,0.52,35.27,Kenya,KE,KEN,Uasin Gishu,admin,353381,1404676352
Hola,Hola,-1.4993,40.0301,Kenya,KE,KEN,Tana River,admin,,1404396672
Karungu,Karungu,-0.8496,34.15,Kenya,KE,KEN,Migori,,2376,1404796416
Siaya,Siaya,0.0607,34.2881,Kenya,KE,KEN,Siaya,admin,,1404162560
Naivasha,Naivasha,-0.7096,36.43,Kenya,KE,KEN,Nakuru,,43983,1404904960
Thika,Thika,-1.0396,37.09,Kenya,KE,KEN,Kiambu,,99322,1404482688
Konza,Konza,-1.7496,37.12,Kenya,KE,KEN,Machakos,,2004,1404143232
Eldama Ravine,Eldama Ravine,0.0504,35.72,Kenya,KE,KEN,Baringo,,17581,1404468224
Tsavo,Tsavo,-2.9828,38.4666,Kenya,KE,KEN,Taita/Taveta,,414,1404321664
Voi,Voi,-3.3696,38.57,Kenya,KE,KEN,Taita/Taveta,,36487,1404504704
Nanyuki,Nanyuki,0.0204,37.06,Kenya,KE,KEN,Laikipia,,36142,1404482048
Malindi,Malindi,-3.21,40.1,Kenya,KE,KEN,Kilifi,,94016,1404380160
Kendu Bay,Kendu Bay,-0.3596,34.64,Kenya,KE,KEN,Homa Bay,,91248,1404600704
Mwingi,Mwingi,-0.9296,38.07,Kenya,KE,KEN,Kitui,,11219,1404312704
Sotik,Sotik,-0.6796,35.12,Kenya,KE,KEN,Bomet,,71285,1404807552
